"title","summary","production_code","original_air_date","season","number_in_season","number_in_series","n","ngram_n","tf","idf","tf_idf"
"Girls Just Want to Have Sums","math","HABF12","2006-04-30",17,19,375,22,1,0.0099277978,2.6974680918,0.0267799179
"Regarding Margie","untidy","HABF13","2006-05-07",17,20,376,6,1,0.002293578,6.3350542515,0.0145299409
"The Monkey Suit","evolution","HABF14","2006-05-14",17,21,377,15,1,0.0070788108,5.2364419628,0.0370677817
"Marge and Homer Turn a Couple Play","buck","HABF16","2006-05-21",17,22,378,27,1,0.0117801047,3.3906152723,0.0399418029
"The Mook, the Chef, the Wife and Her Homer","fart fart","HABF15","2006-09-10",18,1,379,10,2,0.0047125353,6.3350542515,0.0298541671
"Jazzy and the Pussycats","groovay","HABF18","2006-09-17",18,2,380,6,1,0.0033076075,6.3350542515,0.0209538729
"Please Homer, Don't Hammer 'Em","blah blah blah blah","HABF20","2006-09-24",18,3,381,12,4,0.0058823529,4.1378296742,0.0243401746
"Treehouse of Horror XVII","golem","HABF17","2006-11-05",18,4,382,4,1,0.0021621622,5.6419070709,0.012198718
"G.I. (Annoyed Grunt)","frontline infantry","HABF21","2006-11-12",18,5,383,32,2,0.0146991272,6.3350542515,0.0931197685
"Moe'N'a Lisa","poem","HABF19","2006-11-19",18,6,384,9,1,0.0039508341,3.4446824936,0.0136093689
"Ice Cream of Margie (with the Light Blue Hair)","penalty penalty","HABF22","2006-11-26",18,7,385,5,2,0.0024437928,6.3350542515,0.0154815598
"The Haw-Hawed Couple","greystash","JABF02","2006-12-10",18,8,386,13,1,0.0055579307,6.3350542515,0.0352097928
"Kill Gil, Volumes I & II","grumply","JABF01","2006-12-17",18,9,387,11,1,0.0050597976,6.3350542515,0.0320540923
"The Wife Aquatic","yum","JABF03","2007-01-07",18,10,388,11,1,0.006440281,4.0324691585,0.0259702346
"Revenge Is a Dish Best Served Three Times","revenge","JABF05","2007-01-28",18,11,389,22,1,0.0115303983,2.5738541358,0.0296775634
"Little Big Girl","darcy","JABF04","2007-02-11",18,12,390,7,1,0.0033301618,6.3350542515,0.0210967554
"Springfield Up","squeaky","JABF07","2007-02-18",18,13,391,9,1,0.0035587189,4.9487598904,0.0176112452
"Yokel Chords","stanley","JABF09","2007-03-04",18,14,392,13,1,0.0052567732,4.3891441024,0.0230727349
"Rome-Old and Juli-Eh","selma","JABF08","2007-03-11",18,15,393,16,1,0.0075294118,2.3838105329,0.0179486911
"Homerazzi","yi yi yi yi yi","JABF06","2007-03-25",18,16,394,12,5,0.0064655172,6.3350542515,0.0409594025
"Marge Gamer","shadow knight","JABF10","2007-04-22",18,17,395,7,2,0.0030647986,6.3350542515,0.0194156654
"The Boys of Bummer","mattress","JABF11","2007-04-29",18,18,396,11,1,0.004880213,4.0324691585,0.0196793082
"Crook and Ladder","mood swings mood swings","JABF13","2007-05-06",18,19,397,10,4,0.0055959709,6.3350542515,0.0354507792
"Stop or My Dog Will Shoot!","maze","JABF12","2007-05-13",18,20,398,8,1,0.0044843049,4.5432947823,0.0203735192
"24 Minutes","bake sale","JABF14","2007-05-20",18,21,399,9,2,0.0050083472,4.3891441024,0.0219823578
"You Kent Always Say What You Want","liberals","JABF15","2007-05-20",18,22,400,9,1,0.0037251656,5.6419070709,0.0210170379
"He Loves to Fly and He D'ohs","beer beer","JABF20","2007-09-23",19,1,401,9,2,0.0043144775,4.7256163391,0.0203885652
"The Homer of Seville","opera","JABF18","2007-09-30",19,2,402,10,1,0.0050226017,3.8501476017,0.0193377579
"Midnight Towboy","ey","JABF21","2007-10-07",19,3,403,12,1,0.006097561,4.3891441024,0.0267630738
"I Don't Wanna Know Why the Caged Bird Sings","dwight","JABF19","2007-10-14",19,4,404,12,1,0.0058309038,4.9487598904,0.0288557428
"Treehouse of Horror XVIII","alien","JABF16","2007-11-04",19,5,405,6,1,0.0032912781,3.6959969219,0.0121645538
"Little Orphan Millie","norbert","JABF22","2007-11-11",19,6,406,7,1,0.0033589251,6.3350542515,0.021278973
"Husbands and Knives","pussycat","JABF17","2007-11-18",19,7,407,10,1,0.0040983607,5.2364419628,0.0214608277
"Funeral for a Fiend","bob","KABF01","2007-11-25",19,8,408,18,1,0.007223114,2.2079198665,0.0159480568
"Eternal Moonshine of the Simpson Mind","forget me shot","KABF02","2007-12-16",19,9,409,4,3,0.0019550342,6.3350542515,0.0123852478
"E Pluribus Wiggum","ralph","KABF03","2008-01-06",19,10,410,26,1,0.0111396744,2.0723743745,0.0230855757
"That '90s Show","marge a rine","KABF04","2008-01-27",19,11,411,5,3,0.0021505376,6.3350542515,0.0136237726
"Love, Springfieldian Style","bollocks","KABF05","2008-02-17",19,12,412,8,1,0.0041004613,6.3350542515,0.0259766448
"The Debarted","rat","KABF06","2008-03-02",19,13,413,12,1,0.0064794816,2.5283917617,0.016382668
"Dial 'N' for Nerder","martin","KABF07","2008-03-09",19,14,414,16,1,0.0077145612,2.274611241,0.0175476277
"Smoke on the Daughter","ballet","KABF08","2008-03-30",19,15,415,10,1,0.0044385264,3.9371589787,0.0174751841
"Papa Don't Leech","lurleen","KABF09","2008-04-13",19,16,416,18,1,0.0072173216,5.2364419628,0.0377930855
"Apocalypse Cow","lou","KABF10","2008-04-27",19,17,417,20,1,0.0093852651,1.9162136437,0.0179841731
"Any Given Sundance","sundance","KABF11","2008-05-04",19,18,418,8,1,0.0033955857,5.6419070709,0.0191575792
"Mona Leaves-a","wokka","KABF12","2008-05-11",19,19,419,5,1,0.0023809524,6.3350542515,0.0150834625
"All About Lisa","krusty","KABF13","2008-05-18",19,20,420,24,1,0.0091883614,1.3244189574,0.01216924
"Sex, Pies and Idiot Scrapes","loora","KABF17","2008-09-28",20,1,421,8,1,0.0033783784,6.3350542515,0.0214022103
"Lost Verizon","leary","KABF15","2008-10-05",20,2,422,11,1,0.0053710938,6.3350542515,0.0340261703
"Double, Double, Boy in Trouble","bub bub","KABF14","2008-10-19",20,3,423,6,2,0.0026235243,6.3350542515,0.0166201686
"Dangerous Curves","limbo","KABF18","2008-11-09",20,5,425,7,1,0.0029927319,4.9487598904,0.0148103118
"Homer and Lisa Exchange Cross Words","crossword","KABF19","2008-11-16",20,6,426,10,1,0.0046620047,4.5432947823,0.0211808615
"MyPods and Boomsticks","mapple","KABF20","2008-11-30",20,7,427,11,1,0.005052825,5.2364419628,0.0264588248
"The Burns and the Bees","bees","KABF21","2008-12-07",20,8,428,31,1,0.0148325359,3.1995600356,0.047457589
"Lisa the Drama Queen","equalia","KABF22","2009-01-25",20,9,429,11,1,0.0045342127,6.3350542515,0.0287244834
"Take My Life, Please","vance","LABF01","2009-02-15",20,10,430,14,1,0.0074946467,5.6419070709,0.0422841001
"How the Test Was Won","doy","LABF02","2009-03-01",20,11,431,8,1,0.0034737299,5.2364419628,0.0181899851
"No Loan Again, Naturally","landlord","LABF03","2009-03-08",20,12,432,4,1,0.0017482517,4.7256163391,0.008261567
"Gone Maggie Gone","the gem","LABF04","2009-03-15",20,13,433,19,2,0.0088660756,6.3350542515,0.0561670699
"In the Name of the Grandfather","ireland","LABF11","2009-03-22",20,14,434,14,1,0.0058823529,4.2556127098,0.0250330159
"Wedding for Disaster","parson","LABF05","2009-03-29",20,15,435,6,1,0.0024135157,5.6419070709,0.0136168312
"Eeny Teeny Maya Moe","maya","LABF06","2009-04-05",20,16,436,7,1,0.0033175355,4.7256163391,0.0156774002
"The Good, the Sad and the Drugly","jenny","LABF07","2009-04-19",20,17,437,7,1,0.0029838022,4.9487598904,0.0147661207
"Father Knows Worst","washington monument","LABF08","2009-04-26",20,18,438,6,2,0.0024174053,5.2364419628,0.0126586026
"Waverly Hills, 9-0-2-1-D'oh","waverly","LABF10","2009-05-03",20,19,439,12,1,0.0052724077,6.3350542515,0.033400989
"Four Great Women and a Manicure","ho hi","LABF09","2009-05-10",20,20,440,18,2,0.0078740157,6.3350542515,0.0498823169
"Homer the Whopper","everyman","LABF13","2009-09-27",21,1,442,22,1,0.0099188458,6.3350542515,0.0628364263
"Bart Gets a 'Z'","la la la la","LABF15","2009-10-04",21,2,443,39,4,0.020956475,3.2440117981,0.0679830522
"The Great Wife Hope","chett","LABF16","2009-10-11",21,3,444,14,1,0.0072689512,6.3350542515,0.0460492002
"Treehouse of Horror XX","safe zone","LABF14","2009-10-18",21,4,445,6,2,0.0029382958,6.3350542515,0.0186142632
"The Devil Wears Nada","ho mie ho","LABF17","2009-11-15",21,5,446,5,3,0.0019833399,6.3350542515,0.0125645661
"Rednecks and Broomsticks","bonk it","LABF19","2009-11-29",21,7,448,18,2,0.0084705882,6.3350542515,0.053661636
"O Brother, Where Bart Thou?","naked bacon","MABF01","2009-12-13",21,8,449,8,2,0.0035571365,6.3350542515,0.0225346527
"Thursdays with Abie","larry","MABF02","2010-01-03",21,9,450,16,1,0.0069414317,2.901067047,0.0201375587
"Once Upon a Time in Springfield","princess","LABF20","2010-01-10",21,10,451,16,1,0.0066334992,2.6214821848,0.0173895999
"Million Dollar Maybe","you like potato","MABF03","2010-01-31",21,11,452,5,3,0.002236136,6.3350542515,0.0141660426
"Boy Meets Curl","curling","MABF05","2010-02-14",21,12,453,9,1,0.0045385779,5.2364419628,0.0237659998
"The Color Yellow","virgil","MABF06","2010-02-21",21,13,454,17,1,0.0068136273,5.6419070709,0.0384418518
"Postcards from the Wedge","homework","MABF04","2010-03-14",21,14,455,14,1,0.0057471264,2.3838105329,0.0137000605
"Stealing First Base","nikki","MABF07","2010-03-21",21,15,456,5,1,0.0023386342,6.3350542515,0.0148153748
"The Greatest Story Ever D'ohed","messiah","MABF10","2010-03-28",21,16,457,8,1,0.0042803638,4.5432947823,0.0194469547
"American History X-cellent","out of five","MABF08","2010-04-11",21,17,458,5,3,0.0022614202,4.7256163391,0.0106866041
"Chief of Hearts","parm","MABF09","2010-04-18",21,18,459,7,1,0.0029239766,6.3350542515,0.0185235504
"The Squirt and the Whale","whale","MABF14","2010-04-25",21,19,460,15,1,0.0070191858,2.901067047,0.0203631285
"To Surveil with Love","tsk","MABF12","2010-05-02",21,20,461,9,1,0.0037220844,5.6419070709,0.0209996541
"Moe Letter Blues","think back","MABF13","2010-05-09",21,21,462,6,2,0.0023112481,4.9487598904,0.0114378118
"The Bob Next Door","walt","MABF11","2010-05-16",21,22,463,10,1,0.0044189129,4.3891441024,0.0193952457
"Judge Me Tender","simon","MABF15","2010-05-23",21,23,464,6,1,0.0028011204,3.6270040504,0.0101596752
"Elementary School Musical","artists","MABF21","2010-09-26",22,1,465,24,1,0.0137851809,3.4446824936,0.0474855714
"Loan-a Lisa","handbag","MABF17","2010-10-03",22,2,466,6,1,0.0026258206,6.3350542515,0.0166347158
"MoneyBart","baseball","MABF18","2010-10-10",22,3,467,17,1,0.0074138683,2.1453995095,0.0159057094
"Treehouse of Horror XXI","vampire","MABF16","2010-11-07",22,4,468,8,1,0.0042440318,3.6270040504,0.0153931206
"Lisa Simpson, This Isn't Your Life","turn out like","MABF20","2010-11-14",22,5,469,4,3,0.0018223235,5.2364419628,0.009542491
"The Fool Monty","see i am","NABF01","2010-11-21",22,6,470,3,3,0.0013986014,6.3350542515,0.0088602157
"How Munched is That Birdie in the Window?","taps taps","NABF02","2010-11-28",22,7,471,17,2,0.0084033613,6.3350542515,0.05323575
"The Fight Before Christmas","ho ho ho ho","MABF22","2010-12-05",22,8,472,10,4,0.0041271151,4.9487598904,0.0204241019
"Donnie Fatso","nicky","MABF19","2010-12-12",22,9,473,7,1,0.0036477332,6.3350542515,0.0231085877
"Moms I'd Like to Forget","scar","NABF03","2011-01-09",22,10,474,7,1,0.0030674847,3.770104894,0.0115647389
"Flaming Moe","in in","NABF04","2011-01-16",22,11,475,4,2,0.0018552876,5.6419070709,0.0104673601
"Homer the Father","mini bike","NABF05","2011-01-23",22,12,476,9,2,0.0042674253,6.3350542515,0.0270343709
"The Blue and the Gray","wingman","NABF06","2011-02-13",22,13,477,10,1,0.0043402778,5.6419070709,0.0244874439
"Angry Dad: The Movie","angry dad","NABF07","2011-02-20",22,14,478,21,2,0.0097993467,5.6419070709,0.0552870035
"The Scorpion's Tale","drug","NABF08","2011-03-06",22,15,479,11,1,0.0047413793,2.751535313,0.0130460726
"A Midsummer's Nice Dream","cheech","NABF09","2011-03-13",22,16,480,18,1,0.0074937552,5.6419070709,0.0422790705
"Love Is a Many Strangled Thing","dr zander","NABF10","2011-03-27",22,17,481,6,2,0.0029776675,6.3350542515,0.0188636851
"The Great Simpsina","peach","NABF11","2011-04-10",22,18,482,31,1,0.0141101502,3.6270040504,0.0511775719
"The Real Housewives of Fat Tony","truffles","NABF12","2011-05-01",22,19,483,9,1,0.0033210332,6.3350542515,0.0210389256
"Homer Scissorhands","hairdresser","NABF13","2011-05-08",22,20,484,4,1,0.001759015,5.2364419628,0.0092109797
"500 Keys","and the day before","NABF14","2011-05-15",22,21,485,8,4,0.0034812881,6.3350542515,0.0220541488
"The Ned-Liest Catch","edna","NABF15","2011-05-22",22,22,486,21,1,0.0112660944,2.506412855,0.0282374839
"The Falcon and the D'ohman","wayne","NABF16","2011-09-25",23,1,487,13,1,0.0062590274,3.8501476017,0.0240981795
"Bart Stops to Smell the Roosevelts","roosevelt","NABF17","2011-10-02",23,2,488,14,1,0.0058724832,3.9371589787,0.0231209
"Treehouse of Horror XXII","hilarium","NABF19","2011-10-30",23,3,489,7,1,0.0025207058,6.3350542515,0.015968808
"Replaceable You","roz","NABF21","2011-11-06",23,4,490,8,1,0.0030769231,6.3350542515,0.0194924746
"The Food Wife","goorsha","NABF20","2011-11-13",23,5,491,10,1,0.004008016,6.3350542515,0.025390999
"The Book Job","our book","NABF22","2011-11-20",23,6,492,9,2,0.0041860465,5.6419070709,0.0236172854
"The Man in the Blue Flannel Pants","account","PABF01","2011-11-27",23,7,493,8,1,0.0029917726,3.3393219779,0.0099904921
"The Ten-Per-Cent Solution","krusty","PABF02","2011-12-04",23,8,494,25,1,0.0120365912,1.3244189574,0.0159414896
"Holidays of Future Passed","zia","NABF18","2011-12-11",23,9,495,4,1,0.0019831433,6.3350542515,0.0125633203
"Politically Inept, with Homer Simpson","gravy","PABF03","2012-01-08",23,10,496,11,1,0.0056818182,3.1570004212,0.0179375024
"The D'oh-cial Network","springface","PABF04","2012-01-15",23,11,497,6,1,0.0027161612,6.3350542515,0.0172070283
"Moe Goes from Rags to Riches","rag","PABF05","2012-01-29",23,12,498,12,1,0.0049668874,4.2556127098,0.0211371492
"The Daughter Also Rises","myth","PABF06","2012-02-12",23,13,499,8,1,0.0038149738,4.2556127098,0.0162350509
"At Long Last Leave","the outlands","PABF07","2012-02-19",23,14,500,3,2,0.0013623978,6.3350542515,0.0086308641
"Exit Through the Kwik-E-Mart","mr fatso","PABF09","2012-03-04",23,15,501,4,2,0.0018034265,6.3350542515,0.0114248048
"How I Wet Your Mother","karma","PABF08","2012-03-11",23,16,502,6,1,0.0025917927,4.9487598904,0.0128261595
"Them, Robot","hard or","PABF10","2012-03-18",23,17,503,5,2,0.0021881838,5.2364419628,0.0114582975
"Beware My Cheating Bart","shauna","PABF11","2012-04-15",23,18,504,7,1,0.0025725836,4.3891441024,0.0112914402
"A Totally Fun Thing That Bart Will Never Do Again","want want","PABF12","2012-04-29",23,19,505,9,2,0.0036809816,6.3350542515,0.0233192181
"The Spy Who Learned Me","cain","PABF13","2012-05-06",23,20,506,8,1,0.0031409501,5.2364419628,0.0164474031
"Ned 'n Edna's Blend","the passion","PABF15","2012-05-13",23,21,507,5,2,0.0030883261,5.2364419628,0.0161718405
"Lisa Goes Gaga","voop","PABF14","2012-05-20",23,22,508,18,1,0.0076303518,6.3350542515,0.0483386929
"Moonshine River","mary","PABF21","2012-09-30",24,1,509,13,1,0.0052208835,2.5973846332,0.0135606427
"Treehouse of Horror XXIII","black hole","PABF17","2012-10-07",24,2,510,7,2,0.0029130254,5.2364419628,0.0152538884
"Adventures in Baby-Getting","sinkhole","PABF18","2012-11-04",24,3,511,6,1,0.0026350461,4.9487598904,0.0130402105
"Gone Abie Gone","rita","PABF16","2012-11-11",24,4,512,7,1,0.0026595745,5.6419070709,0.015005072
"Penny-Wiseguys","the gun","PABF19","2012-11-18",24,5,513,8,2,0.0033112583,3.6959969219,0.0122384004
"A Tree Grows in Springfield","sauce cheese topping","PABF22","2012-11-25",24,6,514,7,3,0.0032618826,6.3350542515,0.0206642031
"The Day the Earth Stood Cool","t rex","PABF20","2012-12-09",24,7,515,6,2,0.0030690537,6.3350542515,0.0194426217
"To Cur with Love","bongo","RABF01","2012-12-16",24,8,516,19,1,0.0074045207,4.7256163391,0.0349909238
"Homer Goes to Prep School","boom boom","RABF02","2013-01-06",24,9,517,7,2,0.0028735632,4.7256163391,0.0135793573
"A Test Before Trying","meter","RABF03","2013-01-13",24,10,518,9,1,0.0041841004,4.1378296742,0.0173130949
"The Changing of the Guardian","guardians","RABF04","2013-01-27",24,11,519,4,1,0.0016701461,6.3350542515,0.0105804664
"Love is a Many-Splintered Thing","mary","RABF07","2013-02-10",24,12,520,16,1,0.0071269488,2.5973846332,0.0185114272
"Hardly Kirk-ing","slurp","RABF05","2013-02-17",24,13,521,6,1,0.0027497709,4.7256163391,0.0129943621
"Gorgeous Grampa","godfrey","RABF06","2013-03-03",24,14,522,13,1,0.0053807947,5.6419070709,0.0303579437
"Black Eyed, Please","ms cantwell","RABF09","2013-03-10",24,15,523,6,2,0.0024979184,6.3350542515,0.0158244486
"Dark Knight Court","fruit bat","RABF10","2013-03-17",24,16,524,5,2,0.0019992003,6.3350542515,0.0126650425
"What Animated Women Want","omakase","RABF08","2013-04-14",24,17,525,4,1,0.0019890602,6.3350542515,0.0126008041
"Pulpit Friction","day by day","RABF11","2013-04-28",24,18,526,11,3,0.0044989775,6.3350542515,0.0285012666
"Whiskey Business","how deep is your love","RABF13","2013-05-05",24,19,527,4,5,0.0016420361,6.3350542515,0.0104023879
"The Fabulous Faker Boy","zhenya","RABF12","2013-05-12",24,20,528,7,1,0.0033349214,6.3350542515,0.0211269079
"The Saga of Carl","carls","RABF14","2013-05-19",24,21,529,16,1,0.0075258702,4.9487598904,0.0372437245
"Dangers on a Train","anniversary","RABF17","2013-05-19",24,22,530,16,1,0.0070577856,3.1570004212,0.0222814322
"Homerland","more free stuff","RABF20","2013-09-29",25,1,531,7,3,0.0031263957,6.3350542515,0.0198058864
"Treehouse of Horror XXIV","gooble goo","RABF16","2013-10-06",25,2,532,9,2,0.0041763341,6.3350542515,0.0264573031
"Four Regrettings and a Funeral","regrets","RABF18","2013-11-03",25,3,533,11,1,0.0045814244,4.9487598904,0.0226723693
"YOLO","eduardo","RABF22","2013-11-10",25,4,534,9,1,0.0041802137,5.6419070709,0.023584377
"Labor Pains","sleep sleep","RABF19","2013-11-17",25,5,535,11,2,0.0054726368,6.3350542515,0.0346694511
"The Kid Is All Right","isabel","SABF02","2013-11-24",25,6,536,13,1,0.0049429658,5.6419070709,0.0278877536
"Yellow Subterfuge","toke","SABF04","2013-12-08",25,7,537,10,1,0.0048520136,5.6419070709,0.0273746098
"White Christmas Blues","christmas","SABF01","2013-12-15",25,8,538,27,1,0.0122727273,1.5988558031,0.0196223212
"Steal This Episode","movie","SABF05","2014-01-05",25,9,539,31,1,0.0138207757,1.1039456346,0.0152573851
"Married to the Blob","kumiko","SABF03","2014-01-12",25,10,540,7,1,0.0030224525,5.6419070709,0.0170523962
"Specs and the City","valentine","SABF06","2014-01-26",25,11,541,12,1,0.0060882801,4.9487598904,0.0301294362
"Diggs","diggs","SABF08","2014-03-09",25,12,542,8,1,0.0030200076,6.3350542515,0.0191319117
"The Man Who Grew Too Much","taco tuesday","SABF07","2014-03-09",25,13,543,6,2,0.0025359256,6.3350542515,0.0160652263
"The Winter of His Content","clink","SABF09","2014-03-16",25,14,544,4,1,0.00153787,5.6419070709,0.0086765199
"The War of Art","whoa whoa whoa whoa whoa","SABF10","2014-03-23",25,15,545,29,5,0.0127360562,4.0324691585,0.0513577539
"You Don't Have to Live Like a Referee","the world cup","SABF11","2014-03-30",25,16,546,7,3,0.0036803365,6.3350542515,0.0233151313
"Luca$","competitive eater","SABF12","2014-04-06",25,17,547,6,2,0.0029368576,6.3350542515,0.018605152
"Days of Future Future","zombie","SABF13","2014-04-13",25,18,548,6,1,0.0026132404,4.0324691585,0.0105378114
"What to Expect When Bart's Expecting","voodoo","SABF14","2014-04-27",25,19,549,9,1,0.0042352941,4.5432947823,0.0192421897
"Pay Pal","wallis","SABF15","2014-05-11",25,21,551,4,1,0.0019333011,6.3350542515,0.0122475674
"The Yellow Badge of Cowardge","tamp","SABF18","2014-05-18",25,22,552,8,1,0.0038406145,5.6419070709,0.0216683901
"Clown in the Dumps","jewish heaven","SABF20","2014-09-28",26,1,553,4,2,0.0017452007,6.3350542515,0.0110559411
"The Wreck of the Relationship","under under","SABF17","2014-10-05",26,2,554,8,2,0.0037664783,6.3350542515,0.0238608446
"Super Franchise Me","mother hubbards","SABF19","2014-10-12",26,3,555,5,2,0.002593361,6.3350542515,0.0164290826
"Treehouse of Horror XXV","in out","SABF21","2014-10-19",26,4,556,9,2,0.0036188179,5.6419070709,0.020417034
"Opposites A-Frack","fracking","SABF22","2014-11-02",26,5,557,16,1,0.0078392945,5.6419070709,0.0442285709
"Simpsorama","bender","SABF16","2014-11-09",26,6,558,11,1,0.0053606238,4.7256163391,0.0253322513
"Blazed and Confused","lassen","TABF01","2014-11-16",26,7,559,12,1,0.0053643272,6.3350542515,0.033983304
"Covercraft","hopin","TABF02","2014-11-23",26,8,560,17,1,0.0068190935,4.5432947823,0.0309811517
"I Won't Be Home for Christmas","christmas","TABF03","2014-12-07",26,9,561,27,1,0.0122061483,1.5988558031,0.019515871
"The Man Who Came to Be Dinner","are we there yet","RABF15","2015-01-04",26,10,562,15,4,0.00723589,4.5432947823,0.0328747813
"Bart's New Friend","doo doo","TABF05","2015-01-11",26,11,563,23,2,0.0095753539,4.0324691585,0.0386123192
"The Musk Who Fell to Earth","elon","TABF04","2015-01-25",26,"Twelve",564,18,1,0.0098039216,4.9487598904,0.0485172538
